KW, (Opponent), (Tournament), o_own, o_opp, result
5, Shapo, ATP Cup, 1.72, 2.0, w
5, Djokovic, , 4, 1.22, l
5, Medvedev, , 2.75, 1.4, l
7, Giron, AO, 1.05, 11, w
7, Cressy, , 1.08, 8, w
7, Mannarino, , 1.14, 5, w
7, Lajovic, , 1.06, 10, w
7, Djokovic, , 2.37, 1.57, l
9, Bublik, Rotterdam, 1.16, 5, l
11, Alcaraz, Acapulco, 1.14, 5.5, w
11, Djere, , 1.08, 8, w
11, Koepfer, , 1.14, 5.5, w
11, Tsitsipas, , 2.75, 1.44, w
13, Ruusovuori, Miami, 1.16, 5, l
15, Sonego, MC, 1.44, 2.75, w
15, Goffin, , 1.53, 2.5, l
17, Berankis, Munich, 1.11, 6.5, w
17, Ivashka,, 1.28, 3.75 , l
18, Nishikori, Madrid, 1.44, 2.75, w
18, Evans, , 1.25, 4, w
18, Nadal,, 4.33, 1.22, w
18, Thiem,, 1.72, 2.1, w
18, Berrettini,, 1.61, 2.3, w
19, Dellien, Rome, 1.07, 9, w
