KW, (Opponent), (Tournament), o_own, o_opp, result
5, Berrettini, ATP Cup, 1.33, 3.25, l
5, Paire, , 1.16, 4.5, w
7, Kukushkin, AO, 1.02, 17.0, w
7, Koepfer, , 1.06, 10.0, w
7, Kyrgios, , 1.28, 3.75, w
7, Dimitrov, , 1.33, 3.4, l
10, Karatsev, Doha, 1.36, 3.20, w
10, RBA,, 1.44, 2.75, l
11, Harris, Dubai, 1.25, 4, l
18, Giron, Madrid, 1.16, 5, w
18, De Minaur, , 1.25, 4, w
18, Isner, , 1.28, 3.75, w
18, A. Zverev, , 2.1, 1.72, l
19, Fucsovics, Rome, 1.28, 3.75, w
19, Sonego, , 1.28, 3.75, l
20, Norrie, Lyon, 1.25, 4, l
23, Andujar, RG, 1.1, 7, l
