KW, (Opponent), (Tournament), o_own, o_opp, result
1, Tsitsipas, ATP Cup, 3.6, 1.26, l
1, Goffin, , 1.4, 2.8, w
3, Karatsev, , 1.36, 3.1, w
3, Djere, , 1.26, 3.75, w
3, Djokovic, , 4.40, 1.20, l
7, Karatsev, , 1.34, 3.2, w
7, Hurkacz, , 1.95, 1.83, w
7, De Minaur, , 2.05, 1.75, w
7, Medvedev, , 4.33, 1.2, l
8, Brouwer, , 1.22, 4.1, w
8, Bublik, , 1.48, 2.6, l
10, Kubler, , 1.35, 3.1, l
12, Struff, , 1.5, 2.55, w
12, Sinner, , 4.1, 1.22, l
15, Shelton, , 1.2, 4.33, w
15, Lehecka, , 1.62, 2.25, l
16, Gomez, , 1.07, 7.75, w
17, Barrere, , 1.2, 4.4, w
17, Alcaraz, , 7.25, 1.08, l
19, Wawrinka, , 1.79, 2.00, w
19, Djokovic, , 5.5, 1.14, l
21, RCB, , 1.4, 2.9, w
21, OConnel, , 1.36, 3.1, w
21, Fritz, , 2.45, 1.53, w
21, Jarry, , 2.15, 1.72, l
22, Skatov, , 1.1, 6.75, w
22, Ruusuvuori, , 1.42, 2.8, w
22, Altmaier, , 1.36, 3.1, w
22, A. Zverev, , 2.9, 1.4, l
24, Vukic, , 1.26, 3.6, w
24, Rinderknech, , 1.3, 3.3, w
25, Ruusuvuoiri, , 1.55, 2.4, w
25, Cerundolo, , 1.33, 3.25, w
25, Alcaraz, , 3.1, 1.36, l
27, Shimabukoru, , 1.07, 8.25, w
27, Ivashka, , 1.14, 5.5, w
27, Tiafoe, , 1.98, 1.84, w
27, Rune, , 1.5, 2.55, l
31, McDonald, , 1.53, 2.45, w
31, Ruusuvuori, , 1.4, 2.9, w
31, Evans, , 1.33, 3.25, l
33, A. Zverev, , 2.2, 1.65, l
35, Molcan, , 1.14, 5.5, w
35, Murray, , 1.78, 2.0, w
35, A. Zverev, , 2.7, 1.45, l
39, Varillas, , 1.14, 5.5, w
39, OConnel, , 1.3, 3.4, w
39, A. Zverev, , 2.55, 1.5, l
40, McDonald, , 1.5, 2.55, w
40, Rune, , 1.85, 1.91, w
40, Sinner, , 3.25, 1.33, l
41, Vukic, , 1.22, 4.1, w
41, Khachanov, , 1.55, 2.4, w
41, Alcaraz, , 4.4, 1.19, w
41, Jarry, , 1.45, 2.75, w
41, Rublev, , 2.2, 1.67, l
